사용월,호선명,역ID,지하철역,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00
Dec-19,1호선,150,서울역,"1,042","10,804","13,452","40,767","81,199","64,368","70,852","95,831","106,216","108,214","89,914","125,125","129,038","177,406","248,660","136,845","100,035","101,492","76,803","37,056","4,110",49,0,0
Dec-19,1호선,151,시청,46,"2,172","3,803","8,116","10,169","13,606","18,235","25,502","28,413","36,558","46,069","60,367","69,107","89,518","163,467","77,381","67,436","71,582","50,236","20,295","2,863",361,2,0
Dec-19,1호선,152,종각,87,"4,696","4,525","6,921","11,771","15,082","20,889","35,042","45,044","60,408","73,348","91,334","102,367","150,009","244,346","129,611","122,457","145,599","127,124","62,653","13,728",929,25,0
Dec-19,1호선,153,종로3가,163,"5,272","4,633","6,352","9,944","14,651","29,077","41,535","57,455","70,189","82,636","93,336","102,170","105,478","124,104","89,934","71,134","76,497","66,273","30,282","7,093",237,4,0
Dec-19,1호선,154,종로5가,48,"2,122","2,954","5,423","9,098","13,327","22,671","35,709","49,112","63,295","74,666","76,976","81,349","97,606","123,226","67,739","49,113","43,822","35,450","12,878","1,100",16,1,0
Dec-19,1호선,155,동대문,736,"15,458","11,211","16,660","23,198","23,231","22,721","24,683","29,889","33,696","36,320","38,039","38,308","36,411","33,479","23,177","19,835","17,795","14,853","8,763","1,270",116,1,0
Dec-19,1호선,156,신설동,268,"9,605","10,069","19,763","30,398","22,714","21,342","25,613","27,425","29,092","29,149","31,289","36,035","46,494","68,031","29,550","20,520","18,832","14,048","6,287",701,18,1,0
Dec-19,1호선,157,제기동,321,"5,113","8,091","21,301","34,521","24,853","26,520","35,465","43,717","51,391","58,474","66,772","65,099","55,059","48,742","26,060","17,941","13,128","9,387","3,933",451,40,1,0
Dec-19,1호선,158,청량리(서울시립대입구),"1,280","11,386","16,325","43,121","60,425","40,631","35,814","41,872","49,842","53,369","57,635","65,497","71,720","67,030","53,726","33,219","27,269","20,243","15,007","7,162",513,20,0,0
Dec-19,1호선,159,동묘앞,118,"3,349","3,458","6,553","9,682","9,016","10,812","16,179","21,747","30,356","37,368","41,402","41,800","38,442","26,267","11,705","7,498","6,464","4,311","2,130",272,4,1,0
Dec-19,2호선,201,시청,45,"1,360","2,314","5,839","9,072","12,822","20,662","30,451","30,141","35,793","41,476","49,371","56,956","94,397","190,294","70,480","55,343","55,546","40,789","18,083","3,778",282,2,0
Dec-19,2호선,202,을지로입구,81,"3,116","3,907","8,988","16,625","23,259","33,925","47,471","54,282","71,537","86,453","102,887","120,299","170,976","314,043","163,615","157,325","139,772","103,221","50,163","11,315",470,3,0
Dec-19,2호선,203,을지로3가,7,"1,091","2,557","6,305","11,609","14,858","20,916","27,285","29,312","33,015","37,329","42,916","50,757","81,442","139,190","65,075","48,562","51,023","44,613","25,113","5,260",104,1,0
Dec-19,2호선,204,을지로4가,7,860,"1,766","3,612","6,328","10,579","14,170","17,913","20,473","22,471","27,677","31,609","34,928","55,651","75,371","36,278","20,453","17,129","12,272","6,284","1,289",32,1,0
Dec-19,2호선,205,동대문역사문화공원,440,"10,272","6,002","8,186","15,409","16,361","19,863","23,604","26,712","30,021","35,993","44,940","52,929","57,933","67,033","50,176","39,099","35,750","33,514","21,353","4,529",133,0,0
Dec-19,2호선,206,신당,60,"6,282","11,639","27,569","49,247","31,367","23,148","22,705","24,986","26,717","27,245","28,748","32,111","36,588","40,050","26,024","19,561","18,170","13,648","7,433","1,164",60,4,0
Dec-19,2호선,207,상왕십리,19,"6,022","12,605","38,584","68,961","37,698","25,141","24,344","24,500","23,897","21,852","23,389","24,883","29,197","33,385","20,930","14,470","13,879","10,172","4,628",836,22,1,0
Dec-19,2호선,208,왕십리(성동구청),905,"8,006","11,350","27,855","55,492","36,451","25,500","26,430","29,467","32,236","32,350","32,922","40,945","47,201","50,286","33,560","32,675","38,640","36,974","24,577","4,190",111,3,0
Dec-19,2호선,209,한양대,4,"1,417","2,485","5,780","10,187","8,028","9,489","13,876","17,060","18,673","23,109","29,208","37,961","44,785","36,020","19,201","16,894","19,067","14,368","9,085","2,133",16,1,0
Dec-19,2호선,210,뚝섬,23,"4,188","8,653","21,745","34,944","22,186","17,702","18,945","22,968","26,968","29,296","33,158","40,818","54,782","110,376","54,513","32,103","29,620","21,794","9,195","1,543",40,2,0
