사용월,호선명,역ID,지하철역,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00
2020-09,1호선,1,서울역,713,8936,9919,27805,47341,32081,28675,33523,40200,42585,38936,50307,54527,97795,147620,70612,47417,45462,27347,9553,20,0,0,0
2020-09,1호선,10,동묘앞,126,3295,3188,4865,6909,6617,7970,12463,16678,21599,24147,26685,26596,23955,21410,9733,5202,4295,2516,1012,2,0,1,0
2020-09,1호선,2,시청,21,1624,2771,5292,6733,6897,7812,10886,11804,14210,18699,24803,29344,57680,109734,41064,30079,28344,14648,4484,5,0,0,0
2020-09,1호선,3,종각,89,2630,2927,4765,7135,9549,12550,18639,21036,26294,32707,42055,48905,102782,154909,67338,52091,50758,28961,10161,15,0,0,0
2020-09,1호선,4,종로3가,165,3403,3263,4150,6318,9441,16524,25563,30257,35011,39567,43920,47606,59243,83298,47250,31863,30178,19370,6935,28,0,0,0
2020-09,1호선,5,종로5가,27,1608,2334,3976,6444,9692,16095,23454,26959,31076,36759,41888,46651,63887,86310,40929,24108,18092,10408,2992,7,0,0,0
2020-09,1호선,6,동대문,483,12628,8737,12389,16251,15444,13838,15171,17336,17637,19225,19824,21058,21450,20890,14306,11370,9922,7515,3097,25,2,1,0
2020-09,1호선,7,신설동,292,8134,7828,14871,19983,14644,12542,14743,14409,16456,17210,19600,23407,34614,49596,19559,11965,10435,6425,2267,16,1,0,0
2020-09,1호선,8,제기동,332,4394,7556,18973,26777,20477,26103,34935,38761,38866,39808,41926,38213,36950,34461,16182,9483,7975,5558,1964,9,0,0,0
2020-09,1호선,9,청량리(서울시립대입구),1481,10234,13161,34488,40768,28431,27138,32990,36021,37422,38705,42069,44667,42213,37660,20421,15018,9599,6324,2344,20,0,0,0
2020-09,2호선,11,시청,17,784,1793,3980,6079,6447,9059,12904,12941,16247,19881,23629,27908,68014,138143,48357,29532,24854,12533,3369,8,0,0,0
2020-09,2호선,12,을지로입구,133,1827,2628,6368,9923,11084,13022,18900,22565,29465,35379,45351,54350,119239,194907,83462,75234,43911,23076,6435,1,0,0,0
2020-09,2호선,13,을지로3가,8,811,1830,4077,6731,7086,8097,10791,11491,14438,17662,22149,27504,61852,105288,42397,26603,24358,16469,6695,4,2,1,0
2020-09,2호선,14,을지로4가,6,878,1490,2465,4287,5657,7622,10902,13044,13927,17167,19897,24054,41320,59595,28323,13566,10758,6010,2029,2,0,0,0
2020-09,2호선,15,동대문역사문화공원(DDP),250,7229,4575,5452,7857,7194,7454,10246,10946,12449,15392,19344,24293,30670,34356,21430,15370,16139,10158,4048,5,0,0,0
2020-09,2호선,16,신당,26,5569,10300,22792,35264,21290,14566,14336,15729,16766,17366,18228,20286,24012,30269,19110,13760,11251,7975,3122,1,1,0,0
2020-09,2호선,17,상왕십리,56,5333,10982,32144,47989,25995,14827,13663,14225,14560,14018,15095,15182,19042,24010,14760,9570,8412,5792,1815,0,0,0,0
2020-09,2호선,18,왕십리(성동구청),858,6232,8398,21836,36677,21983,13946,14330,16382,16915,16997,18807,22458,26588,31932,19305,17830,19067,15208,7619,62,0,0,0
2020-09,2호선,19,한양대,1,858,2031,4568,7083,4754,4130,5385,6254,6667,7651,9199,13281,22542,22529,10975,8440,8599,6878,3051,0,0,0,0
2020-09,2호선,20,뚝섬,29,3447,7187,16678,23434,13757,10363,10524,13080,14921,17488,20530,26100,43627,97330,47398,27544,23529,14280,4485,2,0,0,0
2020-09,2호선,21,성수,38,5021,8702,20426,26438,20130,15838,16620,19077,23492,26302,30906,40067,82631,178149,76427,41906,38809,23317,6768,4,1,0,0
2020-09,2호선,22,건대입구,195,14240,18373,44660,75564,49061,27155,25855,29108,32036,33876,36778,42044,52516,67294,48004,48891,48578,39086,17327,16,0,0,0
2020-09,2호선,23,구의(광진구청),25,12579,22739,57117,93637,52998,26442,21313,22039,22765,21035,21102,23592,27159,35174,18979,14322,13827,10816,4639,3,0,0,0
2020-09,2호선,24,강변(동서울터미널),17,7885,22288,64478,88470,59442,38988,35463,35032,35536,33718,34312,36749,41082,49420,36902,28304,24396,15453,5099,1,0,0,0
