사용월,호선명,역ID,지하철역,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00
2020-01,1호선,0150,서울역,908,8948,13146,37251,73760,59560,62210,84168,95413,97657,79714,110255,116037,161071,235016,129251,91567,91732,66846,31466,4190,98,0,0
2020-01,1호선,0151,시청,55,1999,3497,7417,9330,11934,14763,20957,24807,30626,38849,51606,58397,77658,158475,66799,52413,53343,34039,12937,556,7,0,0
2020-01,1호선,0152,종각,126,4380,4456,6286,10348,13222,18174,30217,39954,54878,63398,81096,93834,138198,232418,115374,98897,112004,92025,42602,2896,9,0,0
2020-01,1호선,0153,종로3가,160,4750,4234,5495,9178,12981,24003,38647,55279,70630,75308,85537,97145,98108,117513,81093,60055,65589,52438,22638,2565,30,0,0
2020-01,1호선,0154,종로5가,38,1820,2763,4956,8277,11992,19974,31219,42797,54442,64381,68361,71609,86590,114755,61282,42924,35088,29005,9617,592,2,0,0
2020-01,1호선,0155,동대문,725,12681,9016,13096,20234,20559,18843,21450,26737,30178,31637,33030,32948,32327,30813,20918,16799,15080,12694,6781,911,22,1,0
2020-01,1호선,0156,신설동,255,9111,9472,17886,28259,20115,18640,22647,24543,26027,25892,27786,30180,41123,63229,26655,16531,15461,11209,4827,484,7,0,0
2020-01,1호선,0157,제기동,287,4758,7810,19985,31530,23620,25522,35782,44588,50778,57711,66162,63323,52662,47031,24537,16736,11481,8182,3571,369,1,0,0
2020-01,1호선,0158,청량리(서울시립대입구),1217,10056,15049,39773,54988,36843,33458,39773,48223,51214,55836,62981,66423,59705,50657,30949,24025,17944,12557,5338,413,4,0,0
2020-01,1호선,0159,동묘앞,130,3039,3164,5512,8602,8322,9436,14166,19890,26039,33350,37890,38236,35145,25762,11279,6649,5674,3794,1769,244,6,0,0
2020-01,2호선,0201,시청,30,1240,2155,5256,8426,11175,17422,24966,25057,30623,36413,43224,47338,82395,185026,65712,47306,44768,29739,12566,1755,6,0,0
2020-01,2호선,0202,을지로입구,78,2420,3724,8316,14847,19975,28194,40361,46542,60140,71081,86640,99579,147858,299995,148535,137456,115795,81086,37272,4172,25,0,0
2020-01,2호선,0203,을지로3가,8,1005,2296,5569,10012,12764,17026,22112,23676,27555,31564,37035,44532,73367,135100,62878,44046,43926,35457,19541,3271,11,0,0
2020-01,2호선,0204,을지로4가,3,867,1679,3367,5899,9560,12876,16148,18350,20917,24661,28370,31120,49132,72389,34892,18175,14503,9957,4973,896,5,0,0
