사용월,호선명,역ID,지하철역,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00
2020-02,1호선,0150,서울역,753,8656,11027,32573,58541,41153,39848,49968,56518,59305,50532,67661,75481,119660,196464,99142,65245,63755,43085,19466,1797,2,2,0
2020-02,1호선,0151,시청,42,1952,3300,6242,8081,9755,11906,15555,17343,20853,26042,32906,38779,60679,144434,56175,40610,39470,26459,9531,371,1,0,0
2020-02,1호선,0152,종각,79,3146,3467,5274,9004,10742,14303,22674,29614,39649,43715,54178,64149,113121,206201,97266,79150,88384,68375,30708,1828,3,0,0
2020-02,1호선,0153,종로3가,116,3846,3476,4511,7227,10308,18606,28926,39599,50736,49961,57690,64043,72521,98198,63162,43353,48776,37560,16268,1658,0,0,0
2020-02,1호선,0154,종로5가,44,1780,2460,4470,7062,9872,15829,23775,29149,35732,41196,45721,49226,68408,100527,51766,32218,26344,18963,6666,448,1,0,0
2020-02,1호선,0155,동대문,798,13638,8461,12050,17226,17358,14598,15589,18269,19826,20551,20955,22126,22813,23275,16262,12753,11927,9231,5391,781,0,0,0
2020-02,1호선,0156,신설동,279,9027,8286,16764,25071,17232,14185,16642,18092,19723,19669,20811,23381,36047,60610,23986,14977,13509,10148,4570,465,0,0,0
2020-02,1호선,0157,제기동,285,3993,7081,18157,28083,19128,18729,23552,27906,31793,35249,39804,39297,37339,39786,19636,12475,9711,7292,3096,314,0,0,0
2020-02,1호선,0158,청량리(서울시립대입구),1087,9557,13553,37384,49828,31174,24636,27448,32259,33983,36404,40114,43310,41838,40191,23984,17951,12546,9608,4050,293,1,0,0
2020-02,1호선,0159,동묘앞,80,3072,3011,5383,7711,6720,7346,10297,14138,18487,21448,24002,24795,24682,21683,9730,5481,4779,3428,1499,178,0,0,0
2020-02,2호선,0201,시청,40,1222,1937,4545,7594,9235,14424,20217,18957,23088,27239,31031,33795,69399,174398,61954,39427,36873,23679,9158,1370,2,0,0
2020-02,2호선,0202,을지로입구,80,2244,3194,7178,13069,16488,21812,29095,31920,41450,47024,56005,63597,112552,270179,112144,94614,68577,54553,24050,2782,3,0,0
2020-02,2호선,0203,을지로3가,13,924,1926,4778,8988,10152,12748,16546,17579,20586,23547,28345,35225,65498,129853,58105,38257,37055,28875,15057,2476,0,0,0
2020-02,2호선,0204,을지로4가,8,832,1406,2707,5166,7573,9844,11810,13428,14877,18103,20797,24158,44384,69412,32345,15981,12523,8704,3847,760,0,0,0
2020-02,2호선,0205,동대문역사문화공원,356,8610,4510,6257,10129,10261,11679,13874,16536,17230,19842,22723,26968,36612,47444,30466,21728,20070,18274,10124,2348,1,0,0
2020-02,2호선,0206,신당,31,5413,10675,24194,42485,24723,15935,15352,17032,18425,18551,19426,21197,26011,33387,20602,14625,12888,10226,5525,781,0,0,0
2020-02,2호선,0207,상왕십리,20,5003,11260,34527,58978,30386,17393,15872,16801,16469,15247,16069,15848,20420,27032,17065,11120,10224,7069,3186,555,0,1,0
2020-02,2호선,0208,왕십리(성동구청),799,6831,9408,24765,47207,27973,16818,16536,19162,21424,20627,21299,23597,30794,37160,23936,21971,25257,25990,16798,2752,1,0,0
