사용월,호선명,역ID,지하철역,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00
2020-04,1호선,0150,서울역,709,7671,9614,28851,47613,32798,29999,36623,41863,43791,38915,50320,58245,102801,161131,79024,52802,48241,32771,11655,17,0,0,0
2020-04,1호선,0151,시청,22,1547,2816,5268,6273,6627,7462,10616,11580,14583,19016,24420,28552,55595,107173,45940,31449,29653,19611,6059,14,0,0,0
2020-04,1호선,0152,종각,91,2708,2986,4663,7265,8701,11041,18019,21747,29117,34375,43329,51105,105858,171915,81231,63834,71293,53292,20230,66,0,0,0
2020-04,1호선,0153,종로3가,204,3922,3108,4095,6567,9337,17024,26897,33372,41874,43554,48135,52526,62959,88796,54878,38115,40446,32912,11902,43,0,0,0
2020-04,1호선,0154,종로5가,28,1656,2316,3791,6212,9037,14320,21653,26483,31565,38351,42958,47990,63657,90215,46988,27704,21711,15180,4399,15,0,0,0
2020-04,1호선,0155,동대문,663,13056,8337,11152,15679,15143,13445,15370,17361,18816,19334,20255,21628,21855,21312,15468,11796,11198,9084,3825,27,0,0,0
2020-04,1호선,0156,신설동,296,8814,7958,14752,19758,15373,12396,14354,14539,16971,18208,19370,23272,33195,53174,21475,13494,12088,8730,3353,24,0,0,0
2020-04,1호선,0157,제기동,346,3963,7025,17646,25094,19010,20503,28456,33210,33945,36287,39199,35755,35352,34519,17914,10213,7939,6797,2331,16,0,0,0
2020-04,1호선,0158,청량리(서울시립대입구),1376,10251,12631,33592,41662,28503,25866,29791,32580,34797,36429,38859,39826,39711,37435,22993,16353,11384,8159,3161,34,0,0,0
2020-04,1호선,0159,동묘앞,98,3065,2821,4839,6242,6186,7332,11135,15748,20161,25668,27872,28214,26095,23285,11012,5583,4558,3424,1194,12,1,0,0
2020-04,2호선,0201,시청,51,963,1739,3991,5740,6163,8848,13171,13262,16531,20675,23777,27407,66575,140025,55003,30813,28079,18576,5927,24,3,0,0
2020-04,2호선,0202,을지로입구,86,2179,2702,6403,9775,10712,12229,18281,21374,29332,35329,44320,51484,121386,199965,92465,81461,49419,32907,9338,4,0,0,0
