사용월,호선명,역ID,지하철역,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00
2020-03,1호선,0150,서울역,668,7831,9575,28723,45121,29083,24834,29244,33582,35117,33247,42111,50846,93986,151111,72919,47476,41126,26561,11732,1000,0,1,0
2020-03,1호선,0151,시청,43,1759,2859,5397,6460,6807,7136,9902,10411,13289,17684,22936,26543,55935,114932,49453,31746,28945,18972,6358,257,0,0,0
2020-03,1호선,0152,종각,73,2525,2902,4606,7359,8318,10554,15631,19047,24851,31162,38924,47145,98524,164928,82379,58362,62256,44598,19099,1153,0,0,0
2020-03,1호선,0153,종로3가,145,3593,2988,3722,5683,8219,13645,23236,28726,35984,37663,41859,46674,57963,88563,50373,33046,34970,26459,10761,1179,0,0,0
2020-03,1호선,0154,종로5가,27,1549,2314,3726,6048,8748,13472,18841,22236,25436,31158,35959,41568,62538,87884,44479,25060,19086,13248,4741,252,0,0,0
2020-03,1호선,0155,동대문,728,12415,7892,10838,14762,14090,12004,12738,14607,15362,16313,16880,18480,19644,20230,13687,10543,9695,7730,3974,465,2,0,0
2020-03,1호선,0156,신설동,367,8752,7856,14655,19619,14880,10995,12243,13049,15000,15951,17070,19554,33773,52816,21993,12795,11191,8244,3580,376,0,0,0
2020-03,1호선,0157,제기동,314,3891,6571,16941,23774,16902,16748,21920,26106,26933,28894,31971,30462,31754,34296,17214,9590,8036,6653,2825,253,0,0,0
2020-03,1호선,0158,청량리(서울시립대입구),1233,9682,12535,33151,41906,27153,21634,23386,27139,28932,31260,33632,35329,35928,35099,21716,14013,9896,7219,3169,222,3,0,0
2020-03,1호선,0159,동묘앞,91,3113,2727,4646,6262,5826,6180,8913,12457,16488,20102,22526,23766,23187,21158,9629,5230,4318,3072,1365,199,0,0,0
2020-03,2호선,0201,시청,31,1045,1720,4055,5762,6181,8554,11902,12428,15855,19452,21620,25913,64133,144513,62109,32035,28691,17939,6803,970,4,0,0
2020-03,2호선,0202,을지로입구,71,2262,2780,6269,9994,10620,11399,16644,19395,26041,31838,40890,46920,115397,203016,90393,78525,45026,30244,10935,1443,2,0,0
2020-03,2호선,0203,을지로3가,8,795,1719,3921,6505,6637,7238,9542,10523,13119,16676,20434,26020,61883,110647,49715,29340,27855,21467,10906,1623,1,0,0
2020-03,2호선,0204,을지로4가,6,796,1261,1985,3463,4552,6191,8194,10145,11314,14039,16344,20410,41165,63574,31214,13534,10174,6852,3224,639,1,0,0
2020-03,2호선,0205,동대문역사문화공원(DDP),286,7627,4036,5195,7753,7104,6728,8084,9517,10645,12950,15524,19221,29484,36320,23148,17050,15398,10617,6065,1401,2,0,0
2020-03,2호선,0206,신당,24,5310,9614,22272,35124,21161,13139,12226,13988,14872,15181,16259,18026,22612,30617,19703,13068,11030,8444,4994,815,4,0,0
2020-03,2호선,0207,상왕십리,35,4975,10752,31201,48728,27035,14195,12519,12948,13311,12576,12950,13272,17995,23412,15696,9438,8684,5785,2769,462,0,0,0
2020-03,2호선,0208,왕십리(성동구청),826,6588,8511,21883,38446,23284,13660,12707,14561,16228,16033,16783,19158,25543,31224,20685,17833,19794,19555,13121,2338,1,0,0
2020-03,2호선,0209,한양대,0,1011,1966,4501,6794,4941,3475,4066,4896,5345,6112,7402,11546,21121,21657,10423,8186,7841,7061,4322,947,0,0,0
2020-03,2호선,0210,뚝섬,17,3453,6946,17519,24119,15046,10186,9564,11685,14565,16972,19676,25665,43971,102438,52371,27791,24228,16054,6982,976,1,0,0
2020-03,2호선,0211,성수,27,4919,8545,19842,27262,20276,15916,16298,17498,22814,25038,28867,38558,85004,187221,85255,43179,39322,28532,11231,1608,1,0,0
2020-03,2호선,0212,건대입구,260,15696,18642,44964,79315,51346,26289,24452,27603,30031,31403,34318,41415,54865,70133,54400,51026,56045,57494,38257,6610,7,0,0
2020-03,2호선,0213,구의(광진구청),9,11627,22303,56623,96866,59362,25855,20626,22037,23271,20867,20720,22503,28026,36538,21258,15506,14861,13520,7970,1273,0,0,0
