사용월,호선명,역ID,지하철역,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00
2020-05,1호선,0150,서울역,813,8478,10736,29922,53921,39251,38103,46762,55232,57055,48828,64421,71948,115171,176221,86920,61811,59285,41290,15258,11,0,0,0
2020-05,1호선,0151,시청,30,1557,2914,5627,6957,7841,8553,12095,13668,17272,22049,28018,32000,59053,115293,46640,34966,34047,22202,7325,5,0,0,0
2020-05,1호선,0152,종각,75,3014,3319,5074,7924,9987,13458,20798,25190,34636,40115,50544,57906,112976,182870,83167,69067,78851,60248,22662,58,0,0,0
2020-05,1호선,0153,종로3가,201,4118,3435,4612,7174,10489,20519,31260,37145,47571,50770,56840,60378,67784,94613,59187,44218,48552,38442,13893,53,0,0,0
2020-05,1호선,0154,종로5가,29,1708,2587,4517,7440,10656,17492,25615,32360,39556,46587,51601,54887,67504,94202,48877,30896,25869,18521,5727,15,0,0,0
2020-05,1호선,0155,동대문,620,13095,9135,11941,17471,16819,16366,17629,21258,22664,23524,24632,25447,25133,24186,16973,13729,13253,10893,4659,25,0,0,0
2020-05,1호선,0156,신설동,329,8845,8238,15648,21432,16024,13916,16741,18198,20318,21068,22759,28216,35321,55588,22750,14779,12833,9393,3648,27,0,0,0
2020-05,1호선,0157,제기동,380,4512,7642,18514,26796,20906,23574,31391,36600,37399,40449,43962,39529,37289,36082,18764,11365,8837,7292,2672,12,0,0,0
2020-05,1호선,0158,청량리(서울시립대입구),1255,10439,13779,35493,43815,30780,29326,35382,36673,39290,41615,44553,45788,43942,40624,25836,19689,13435,9475,3596,47,0,1,0
2020-05,1호선,0159,동묘앞,98,3036,2972,5166,7066,6813,8460,13254,17921,23818,29963,31846,32093,29431,25393,12716,6336,5223,3585,1396,15,1,0,0
2020-05,2호선,0201,시청,44,1040,1705,4154,5978,7006,9803,14838,14900,19051,23013,26490,29987,67938,147276,52656,33022,30135,19683,6414,18,1,0,0
2020-05,2호선,0202,을지로입구,118,2173,2744,6825,10761,11656,14177,20445,24489,34737,40514,50277,58649,124705,212601,92835,85894,57398,37696,10873,8,0,0,0
2020-05,2호선,0203,을지로3가,6,797,1829,4264,7491,7523,9067,12149,13389,17027,20679,24847,30406,62724,110698,48526,31975,33026,28834,12951,10,0,0,0
2020-05,2호선,0204,을지로4가,7,873,1236,2336,4133,5506,7846,10936,13830,16227,18736,21758,24182,43863,63995,29889,15145,11770,8723,3209,4,0,0,0
2020-05,2호선,0205,동대문역사문화공원(DDP),326,7922,4211,5722,8510,7970,8475,10937,13368,15018,19079,22285,27754,36055,40358,25188,19398,20617,13499,6000,2,0,0,0
2020-05,2호선,0206,신당,23,5981,10553,23301,37829,23418,16663,15921,18065,19855,19699,20304,22688,25752,32284,21186,15114,12760,10419,4470,1,0,1,0
2020-05,2호선,0207,상왕십리,52,5314,11581,32764,51252,28513,18028,16589,17021,17466,15767,16807,17170,20797,25132,16554,11335,10030,7190,2517,0,0,0,0
2020-05,2호선,0208,왕십리(성동구청),690,7114,9145,22888,39581,24247,16152,16516,18808,20532,20528,21450,25750,30316,34456,23135,21265,23746,25381,14530,85,0,0,0
2020-05,2호선,0209,한양대,5,1260,2190,4562,7274,5426,4644,6024,7074,7617,8407,10045,15181,23771,23199,11703,9926,10320,9677,4665,1,0,0,0
2020-05,2호선,0210,뚝섬,19,3604,7620,17229,25569,16106,12095,12409,14957,18307,20664,24388,31852,46533,96624,51452,30951,27563,20282,6713,1,1,0,0
2020-05,2호선,0211,성수,32,5335,8888,21120,28387,22421,18562,19597,21633,26764,29548,34472,43448,83686,175769,77022,46354,43569,32611,10124,4,0,0,0
