사용월,호선명,역ID,지하철역,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00
2020-11,1호선,1,서울역,753,"8,675","11,072","32,647","59,127","41,390","38,848","45,649","56,164","59,894","50,166","69,417","73,931","129,234","183,615","94,572","63,184","61,979","40,086","13,602",49,0,0,0
2020-11,1호선,10,동묘앞,123,"3,339","3,256","5,769","8,088","6,810","7,547","11,792","17,177","24,148","28,516","32,662","31,980","29,852","19,668","8,718","5,118","4,856","2,979","1,107",1,0,1,0
2020-11,1호선,2,시청,46,"1,906","2,883","5,827","7,572","8,301","9,008","13,391","15,406","19,664","24,861","33,005","38,620","69,711","129,123","48,632","38,231","37,627","21,534","6,610",22,0,0,0
2020-11,1호선,3,종각,122,"2,851","3,442","5,353","8,357","10,185","13,298","20,795","27,078","34,326","40,433","52,948","61,859","123,235","190,651","82,999","68,519","74,284","51,200","18,973",81,0,3,0
2020-11,1호선,4,종로3가,175,"3,652","3,448","4,655","7,046","9,708","17,330","26,846","36,216","44,880","48,904","56,171","62,258","71,916","94,262","54,470","39,668","44,288","32,207","11,090",51,2,1,1
2020-11,1호선,5,종로5가,90,"1,602","2,385","4,260","6,690","9,608","14,488","22,488","28,313","34,237","41,383","46,779","52,482","71,600","94,499","45,564","28,692","23,037","15,141","4,689",28,0,0,0
2020-11,1호선,6,동대문,655,"12,826","8,925","14,146","18,390","17,102","15,143","16,320","20,120","21,206","23,013","23,687","24,813","25,646","22,783","15,058","12,250","11,159","8,818","3,971",31,0,0,0
2020-11,1호선,7,신설동,362,"8,355","7,878","16,191","23,703","15,582","13,972","16,562","17,694","20,334","20,206","21,665","28,234","39,341","56,530","20,875","13,277","12,447","7,589","2,682",19,0,1,1
2020-11,1호선,8,제기동,453,"4,777","7,698","20,120","29,902","20,383","21,825","29,747","36,250","39,653","43,294","47,061","43,532","40,090","35,167","16,292","10,275","8,765","6,611","2,292",11,1,3,0
2020-11,1호선,9,청량리(서울시립대입구),"1,292","9,852","14,384","36,708","45,119","30,256","26,164","31,785","37,041","38,673","42,062","45,730","50,854","48,091","39,076","21,953","16,767","11,836","8,050","2,855",54,0,0,0
