사용월,호선명,역ID,지하철역,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00
2020-08,1호선,1,서울역,696,8106,10320,28966,51980,36077,35285,44050,52773,53884,45740,59706,65484,110124,163421,82628,54857,54009,38919,14082,22,0,0,0
2020-08,1호선,10,동묘앞,100,2908,2969,4948,7065,6714,8047,11662,15546,19284,20490,20744,20732,20717,19924,9783,5218,4106,2749,1036,4,0,0,0
2020-08,1호선,2,시청,24,1603,2801,5484,6812,7223,8011,11863,13146,16625,22142,28757,33544,58225,114019,42315,31818,29603,18757,6401,4,0,0,0
2020-08,1호선,3,종각,63,3059,3171,4926,7697,9786,13550,21293,27052,34294,39647,50150,57141,111825,171072,75238,59724,63914,47190,17848,13,0,1,0
2020-08,1호선,4,종로3가,144,3547,3356,5326,7030,10266,18754,28500,36254,43102,42807,48622,54479,63154,85515,51539,36472,38561,29612,10504,20,0,0,0
2020-08,1호선,5,종로5가,34,1613,2338,4054,6603,9727,15757,23174,27899,31707,36662,40989,45708,62745,86537,42819,24839,19993,15713,5521,8,0,0,0
2020-08,1호선,6,동대문,408,11140,7803,11446,16146,15296,13818,15100,17414,17921,18809,19053,20144,21034,20320,14422,11071,9884,7946,3485,34,0,2,0
2020-08,1호선,7,신설동,207,8294,7880,14953,20268,14387,12799,14852,15646,17118,17138,17777,20954,32404,49834,19190,11819,11195,7426,2668,18,0,0,0
2020-08,1호선,8,제기동,303,4238,7090,18192,25353,18700,22128,27509,30333,30384,31556,34270,33531,34453,33771,16445,10002,7687,5981,2247,12,1,0,0
2020-08,1호선,9,청량리(서울시립대입구),1437,10098,13706,35182,42082,29019,25781,30074,32637,33580,34114,37283,40399,40398,38079,22610,16092,10765,7706,3155,26,0,0,0
2020-08,2호선,11,시청,21,847,1815,4042,6136,7273,9838,14974,14956,18303,22280,26324,29142,65969,144217,49175,30257,25693,16075,4798,5,1,0,0
