사용월,호선명,역ID,지하철역, 4:00, 5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00
Nov-19,우이신설선,4703,4.19민주묘지,3,1410,3083,8566,9286,6994,5546,5622,6172,6901,6779,7506,10103,9511,7190,4002,3084,2570,1729,797,122,0,0,0
Nov-19,우이신설선,4704,가오리,7,2412,5790,18101,20116,12074,9196,8384,8187,7233,6308,5826,6116,6292,5330,3475,2352,1740,1193,583,159,0,0,0
Nov-19,우이신설선,4705,화계,5,1929,3751,12950,14554,9388,6719,6606,7086,6489,5851,5249,5695,5072,4284,3164,1867,1590,1076,540,123,0,0,0
Nov-19,우이신설선,4706,삼양,2,1101,2493,6965,8146,5632,4517,4305,4050,4081,4250,3223,3229,3110,2863,1897,1431,1152,665,264,49,0,0,0
Nov-19,우이신설선,4707,삼양사거리,4,1304,2572,7045,9246,6528,5021,4748,5292,5204,4051,4309,4323,3990,3699,2703,2019,1330,1261,558,103,0,0,0
Nov-19,우이신설선,4708,솔샘,0,2899,8844,30717,31421,18846,12133,9447,9495,8963,6942,6481,7386,7092,5879,3749,2508,1892,1511,823,190,0,0,0
Nov-19,우이신설선,4709,북한산보국문,5,1976,6690,21656,25749,17456,12088,10814,10862,11023,9550,9970,12537,12526,12374,6906,4559,4334,3365,1898,547,0,0,0
Nov-19,우이신설선,4710,정릉,3,1871,5183,14377,15550,13545,9852,8937,9481,9010,7821,7929,8096,8976,9367,5147,3393,3319,2469,1092,364,0,0,0
Nov-19,우이신설선,4711,성신여대입구(돈암),6,831,1165,4064,7613,5493,4769,5012,6298,6346,6527,7643,8407,9353,10410,6908,6440,7182,6741,3510,740,0,0,0
Nov-19,우이신설선,4712,보문,8,333,801,2318,4490,3423,2933,2700,2927,3335,2944,3236,3843,3751,4657,2591,2011,1543,1174,623,156,2,0,0
Nov-19,우이신설선,4713,신설동,11,835,991,1321,2398,1973,2115,2486,2802,3159,3354,4751,5652,7845,10999,5188,3191,2986,2425,997,211,1,0,0
