사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-02,2호선,0204,을지로4가,8,0,832,"1,058","1,406","10,040","2,707","27,114","5,166","73,951","7,573","40,360","9,844","22,348","11,810","18,982","13,428","17,081","14,877","16,574","18,103","16,250","20,797","14,559","24,158","12,457","44,384","11,319","69,412","10,598","32,345","6,784","15,981","4,218","12,523","4,067","8,704","3,804","3,847","2,647",760,881,0,10,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0205,동대문역사문화공원,356,0,"8,610",794,"4,510","7,433","6,257","17,666","10,129","50,976","10,261","33,221","11,679","24,936","13,874","21,708","16,536","20,954","17,230","22,167","19,842","22,711","22,723","21,342","26,968","20,218","36,612","22,006","47,444","25,985","30,466","30,947","21,728","19,220","20,070","14,301","18,274","12,133","10,124","8,520","2,348","2,848",1,21,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0206,신당,31,0,"5,413","1,116","10,675","6,829","24,194","13,918","42,485","34,258","24,723","22,621","15,935","16,186","15,352","16,160","17,032","17,118","18,425","18,125","18,551","19,437","19,426","19,729","21,197","21,475","26,011","27,554","33,387","41,916","20,602","31,638","14,625","18,775","12,888","16,505","10,226","16,328","5,525","10,517",781,"3,339",0,1,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0207,상왕십리,20,0,"5,003",647,"11,260","5,100","34,527","9,643","58,978","31,827","30,386","17,525","17,393","11,910","15,872","10,413","16,801","11,265","16,469","13,260","15,247","13,469","16,069","14,867","15,848","17,785","20,420","24,839","27,032","44,935","17,065","34,168","11,120","20,218","10,224","19,341","7,069","18,182","3,186","11,754",555,"4,100",0,1,1,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0208,왕십리(성동구청),799,2,"6,831",911,"9,408","5,537","24,765","9,543","47,207","25,670","27,973","18,261","16,818","12,952","16,536","13,705","19,162","15,791","21,424","18,266","20,627","17,758","21,299","18,973","23,597","21,884","30,794","29,787","37,160","54,028","23,936","37,599","21,971","21,173","25,257","17,456","25,990","16,789","16,798","12,099","2,752","4,707",1,0,0,1,0,0,2020-03-03 12:13:59
2020-02,2호선,0209,한양대,1,1,912,301,"2,008","5,814","4,987","8,871","8,405","26,550","5,981","27,996","4,549","15,719","5,746","10,005","6,668","10,225","8,618","11,684","7,930","10,121","9,087","8,097","14,445","7,437","23,864","7,733","24,559","10,176","11,710","6,889","8,494","4,557","8,963","4,254","7,481","4,187","4,505","2,942",996,970,0,5,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0210,뚝섬,22,0,"3,453","1,680","6,956","12,837","18,703","25,487","28,967","122,074","17,181","68,722","12,466","27,576","12,484","20,641","15,826","21,392","19,728","24,205","21,043","21,934","23,344","21,848","28,920","22,763","43,144","26,228","106,138","36,874","52,948","25,563","29,431","13,876","26,408","12,008","17,843","11,154","7,322","7,693","1,120","2,595",0,16,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0211,성수,24,2,"4,837","3,686","8,757","27,493","21,118","60,649","30,990","254,244","22,759","105,971","18,800","39,833","19,649","29,789","22,304","29,516","27,758","34,799","30,993","31,759","35,016","32,886","43,416","32,371","81,739","35,029","199,017","46,359","84,631","32,930","46,597","17,898","42,772","14,171","32,285","13,402","13,031","10,013","1,744","5,199",4,955,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0212,건대입구,248,12,"16,025","1,979","19,873","16,894","49,728","23,967","94,069","58,839","57,953","41,093","32,099","35,097","30,340","37,390","35,926","46,240","39,936","53,524","40,586","54,534","43,915","57,961","51,767","65,489","65,128","87,869","80,109","143,706","58,788","112,294","58,333","62,105","66,241","54,058","70,193","48,980","45,974","29,308","7,691","10,401",2,941,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0213,구의(광진구청),5,1,"11,623","1,399","23,228","9,116","60,250","13,381","112,093","36,868","63,803","23,797","29,979","18,223","25,194","17,416","27,773","19,883","28,395","23,065","25,236","24,239","24,515","29,329","26,490","33,110","31,335","46,101","40,530","83,666","22,253","68,045","17,412","42,860","16,653","38,588","14,749","36,908","8,790","22,415","1,380","7,189",0,17,0,0,0,0,2020-03-03 12:13:59
