사용월,호선명,역ID,지하철역,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00
2020-06,1호선,1,서울역,703,9281,11839,34932,59766,41216,37026,44361,52246,54814,47938,63180,69070,123504,198390,94455,61917,61209,41730,15428,35,0,0,0
2020-06,1호선,10,동묘앞,92,3482,3095,5988,7916,7012,8702,13048,17572,23326,25634,28110,27373,28655,24651,12708,6766,5570,3866,1321,1,0,0,0
2020-06,1호선,2,시청,14,1579,2965,5914,7538,8106,9332,13443,13867,17618,21490,28019,32540,64843,129947,48737,37152,37571,25019,8266,5,0,0,0
2020-06,1호선,3,종각,94,3286,3385,5367,8424,10634,14447,22238,26993,35691,41104,51633,58818,127045,207821,87619,72988,83784,65597,24210,26,0,0,0
2020-06,1호선,4,종로3가,197,4327,3499,4868,8573,11689,20419,30810,38132,45509,46753,51333,55772,67261,99469,59284,43912,48623,40059,14301,29,1,2,0
2020-06,1호선,5,종로5가,52,1935,2674,5086,7527,11391,18275,26254,31928,36844,43377,46322,51717,69285,101595,49553,30809,25803,19853,6429,17,0,0,0
2020-06,1호선,6,동대문,495,14049,9668,14530,18672,17388,16523,17443,19909,20907,21185,21647,22973,24393,23839,16071,13456,12670,11104,4592,20,0,2,0
2020-06,1호선,7,신설동,252,9370,8823,17577,23934,16919,14458,17410,17891,19372,19381,23443,28207,38635,61218,23939,15097,13648,9959,3493,17,0,0,0
2020-06,1호선,8,제기동,419,4701,8346,20972,29749,21926,25315,31912,33188,33787,34906,36422,35450,36425,36996,18432,11640,8846,7071,2633,6,0,0,0
2020-06,1호선,9,청량리(서울시립대입구),1341,11435,15231,40635,48887,32649,30120,34769,35284,36418,37504,39195,42395,43729,41397,24698,19006,12942,9380,3661,35,0,0,0
2020-06,2호선,11,시청,15,1022,1869,4625,6638,7456,11167,16464,16169,20607,23788,27210,32603,77140,164009,55418,35129,33124,22158,6992,9,0,0,0
