지점,지점명,일시,평균기온(°C),일강수량(mm),일 최심신적설(cm)
268,진도군,20170712,25.2,,
268,진도군,20170713,26.9,,
268,진도군,20170714,27.8,1,
268,진도군,20170715,27.6,0.5,
268,진도군,20170716,28.6,,
268,진도군,20170717,27.3,0.5,
268,진도군,20170718,,18.5,
268,진도군,20170719,,18.5,
268,진도군,20170723,28.7,,
268,진도군,20170724,29.3,,
268,진도군,20170725,27.2,,
268,진도군,20170726,26.9,,
268,진도군,20170727,25.6,,
268,진도군,20170728,27.4,,
268,진도군,20170729,27.5,,
268,진도군,20170730,27.6,,
268,진도군,20170731,27.1,9.5,
268,진도군,20170801,29.3,,
268,진도군,20170802,28,,
268,진도군,20170803,28,,
268,진도군,20170804,29,,
268,진도군,20170805,29.2,,
268,진도군,20170806,28.8,,
268,진도군,20170807,28.6,,
268,진도군,20170808,27.6,1.5,
268,진도군,20170809,26.3,6.5,
268,진도군,20170810,26.2,,
268,진도군,20170811,26.5,,
268,진도군,20170812,26.6,,
268,진도군,20170813,24.9,21.5,
268,진도군,20170814,25.8,88.5,
268,진도군,20170815,26,7,
268,진도군,20170816,25.7,,
268,진도군,20170817,24.8,0.1,
268,진도군,20170818,25.1,,
268,진도군,20170819,25,6.4,
268,진도군,20170820,27.1,33.5,
268,진도군,20170821,26.4,69.5,
268,진도군,20170822,26.8,26.5,
268,진도군,20170823,29.1,0.1,
268,진도군,20170824,29.1,0.1,
268,진도군,20170825,26.4,,
268,진도군,20170826,25.7,,
268,진도군,20170827,23.9,,
268,진도군,20170828,26,,
268,진도군,20170829,23.6,0.4,
268,진도군,20170830,21.9,,
268,진도군,20170831,23,,
268,진도군,20170901,22.6,,
268,진도군,20170902,21.3,,
268,진도군,20170903,21.9,,
268,진도군,20170904,23.1,,
268,진도군,20170905,22.8,1.5,
268,진도군,20170906,22.1,61,
268,진도군,20170907,21.3,3.5,
268,진도군,20170908,21.4,,
268,진도군,20170909,22.9,,
268,진도군,20170910,23.4,3.5,
268,진도군,20170911,23.2,33.5,
268,진도군,20170912,22.5,,
268,진도군,20170913,21.4,,
268,진도군,20170914,21.3,,
268,진도군,20170915,21.3,,
268,진도군,20170916,21.1,,
268,진도군,20170917,21.2,,
268,진도군,20170918,21.8,,
268,진도군,20170919,23.4,,
268,진도군,20170920,20.8,,
268,진도군,20170921,18.9,,
268,진도군,20170922,19.8,,
268,진도군,20170923,20.5,,
268,진도군,20170924,20.9,,
268,진도군,20170925,22.5,,
268,진도군,20170926,24.3,0.3,
268,진도군,20170927,21.5,4,
268,진도군,20170928,20.9,,
268,진도군,20170929,17.7,,
268,진도군,20170930,19.7,,
268,진도군,20171001,21,69,
268,진도군,20171002,21.4,1,
268,진도군,20171003,19.3,,
268,진도군,20171004,18.4,,
268,진도군,20171005,18,11.5,
268,진도군,20171006,17.4,15.5,
268,진도군,20171007,19.4,0,
268,진도군,20171008,20.5,,
268,진도군,20171009,20.6,,
268,진도군,20171010,21.7,,
268,진도군,20171011,18,4,
268,진도군,20171012,13.8,3,
268,진도군,20171013,15,,
268,진도군,20171014,16.9,,
268,진도군,20171015,16,0.5,
268,진도군,20171016,17.3,,
268,진도군,20171017,16.6,,
268,진도군,20171018,17.3,,
268,진도군,20171019,15.6,,
268,진도군,20171020,16,,
268,진도군,20171021,15.4,,
268,진도군,20171022,15.9,,
268,진도군,20171023,13.4,,
268,진도군,20171024,13,,
268,진도군,20171025,12.1,,
268,진도군,20171026,13.4,,
268,진도군,20171027,12.9,,
268,진도군,20171028,15.3,,
268,진도군,20171029,14.6,,
268,진도군,20171030,11,,
268,진도군,20171101,9.8,,
